主页,http://hotel.big5.elong.com/,^/$,【酒店预订】宾馆预订_艺龙旅行网
城市火车站酒店列表-p1,http://hotel.big5.elong.com/beijing/train_123/,^/[a-z]+/train_\d+/$
城市火车站经济型酒店列表,http://hotel.big5.elong.com/beijing/train_123/inn.html,^/[a-z]+/train_\d+/inn\.html$
城市火车站三星级酒店列表,http://hotel.big5.elong.com/beijing/train_123/star3.html,^/[a-z]+/train_\d+/star[3-5]\.html$,
城市火车站某品牌酒店列表,http://hotel.big5.elong.com/beijing/train_123/brand1.html,^/[a-z]+/train_\d+/brand_\d+\.html$
城市火车站酒店列表-Pn,http://hotel.big5.elong.com/beijing/train_123/p2.html,^/[a-z]+/train_\d+/p\d+\.html$
城市地铁线酒店列表-P1,http://hotel.big5.elong.com/beijing/metroline_123/,^/[a-z]+/metroline_\d+/$
城市地铁线经济型酒店列表,http://hotel.big5.elong.com/beijing/metroline_123/inn.html,^/[a-z]+/metroline_\d+/inn\.html$
城市地铁线三星级酒店列表,http://hotel.big5.elong.com/beijing/metroline_123/star3.html,^/[a-z]+/metroline_\d+/star[3-5]\.html$,
城市地铁线某品牌酒店列表,http://hotel.big5.elong.com/beijing/metroline_123/brand1.html,^/[a-z]+/metroline_\d+/brand_\d+\.html$
城市地铁线酒店列表-Pn,http://hotel.big5.elong.com/beijing/metroline_123/p2.html,^/[a-z]+/metroline_\d+/p\d+\.html$
城市地铁站酒店列表-P1,http://hotel.big5.elong.com/beijing/metro_123/,^/[a-z]+/metro_\d+/$
城市地铁站经济型酒店列表,http://hotel.big5.elong.com/beijing/metro_123/inn.html,^/[a-z]+/metro_\d+/inn\.html$
城市地铁站三星级酒店列表,http://hotel.big5.elong.com/beijing/metro_123/star3.html,^/[a-z]+/metro_\d+/star[3-5]\.html$,
城市地铁站某品牌酒店列表,http://hotel.big5.elong.com/beijing/metro_123/brand1.html,^/[a-z]+/metro_\d+/brand_\d+\.html$
城市地铁站酒店列表-Pn,http://hotel.big5.elong.com/beijing/metro_123/p2.html,^/[a-z]+/metro_\d+/p\d+\.html$
城市展馆酒店列表-P1,http://hotel.big5.elong.com/beijing/exhibition_123/,^/[a-z]+/exhibition_\d+/$
城市展馆经济型酒店列表,http://hotel.big5.elong.com/beijing/exhibition_123/inn.html,^/[a-z]+/exhibition_\d+/inn\.html$
城市展馆三星级酒店列表,http://hotel.big5.elong.com/beijing/exhibition_123/star3.html,^/[a-z]+/exhibition_\d+/star[3-5]\.html$,
城市展馆某品牌酒店列表,http://hotel.big5.elong.com/beijing/exhibition_123/brand1.html,^/[a-z]+/exhibition_\d+/brand_\d+\.html$
城市展馆酒店列表-Pn,http://hotel.big5.elong.com/beijing/exhibition_123/p2.html,^/[a-z]+/exhibition_\d+/p\d+\.html$
城市品牌酒店列表-P1,http://hotel.big5.elong.com/beijing/brand_homeinns/,^/[a-z]+/brand/\d+/$,【北京 如家快捷酒店】预订_价格查询_艺龙旅行网
城市品牌酒店列表-Pn,http://hotel.big5.elong.com/beijing/brand_homeinns/p2.html,^/[a-z]+/brand/\d+/p\d+\.html$,【北京 如家快捷酒店】预订_价格查询_2_艺龙旅行网
酒店的介绍及预订,http://hotel.big5.elong.com/detail_cn_50101002.html,^/detail_cn_\d+\.html$,【攀枝花川惠大酒店】预订_电话_地址_价格查询_艺龙旅行网
酒店的住客点评,http://hotel.big5.elong.com/review_cn_50101002.html,^/review_cn_\d+\.html$,攀枝花川惠大酒店评价怎么样_好不好_艺龙旅行网用户点评
品牌大全首页,http://hotel.big5.elong.com/brand/,^/brand/$,酒店品牌大全_艺龙旅行网
某品牌首页,http://hotel.big5.elong.com/brand/homeinns/,^/brand/[a-z]+$,【如家快捷酒店】预订_价格查询_艺龙旅行网
