,
连锁酒店首页,http://big5.sunnychina.com/hotel/kuaijie/,^/hotel/kuaijie/$
品牌酒店索引,http://big5.sunnychina.com/hotel/chain_1/,^/hotel/chain_\d+/$
城市连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/,^/hotel/chain+\d+/[a-z]+/$
城市连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/P2.html,^/hotel/chain+\d+/[a-z]+/p\d+\.html$
城市行政区连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/chaoyang/,^/hotel/chain+\d+/[a-z]+/[a-z]+/$
城市行政区连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/chaoyang/p2.html,^/hotel/chain+\d+/[a-z]+/[a-z]+/p\d+\.html$
城市商圈连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/center_123/,^/hotel/chain+\d+/[a-z]+/center_\d+/$
城市商圈连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/center_123/p2.html,^/hotel/chain+\d+/[a-z]+/center_\d+/p\d+\.html$
城市火车站连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/train_123/,^/hotel/chain+\d+/[a-z]+/train_\d+/$
城市火车站连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/train_123/p2.html,^/hotel/chain+\d+/[a-z]+/train_\d+/p\d+\.html$
城市机场连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/airport_123/,^/hotel/chain+\d+/[a-z]+/airport_\d+/$
城市机场连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/airport_123/p2.html,^/hotel/chain+\d+/[a-z]+/airport_\d+/p\d+\.html$
城市大学连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/college_123/,^/hotel/chain+\d+/[a-z]+/college_\d+/$
城市大学连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/college_123/p2.html,^/hotel/chain+\d+/[a-z]+/college_\d+/p\d+\.html$
城市景点连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/scenic_123/,^/hotel/chain+\d+/[a-z]+/spot_\d+/$
城市景点连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/scenic_123/p2.html,^/hotel/chain+\d+/[a-z]+/spot_\d+/p\d+\.html$
城市医院连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/hospital_123/,^/hotel/chain+\d+/[a-z]+/hospital_\d+/$
城市医院连锁酒店列表-Pn,http://big5.sunnychina.com/hotel/chain_1/beijing/hospital_123/p2.html,^/hotel/chain+\d+/[a-z]+/hospital_\d+/p\d+\.html$
城市地铁线连锁酒店列表,http://big5.sunnychina.com/hotel/chain_1/beijing/metroline_123/,^/hotel/chain+\d+/[a-z]+/metroline_\d+/$
