"节点","url","Url正则","title","Title正则","keywords"
"旅游资讯列表","http://trip.elong.com/news/","^/news/all/$","【旅游资讯】当季旅游资讯_新闻_行情信息_艺龙旅行网",,"当季旅游资讯,行情信息,旅游动态,旅游热点"
"主题旅游资讯","http://trip.elong.com/news/zt-1/","^/news/zt-\d+/$","【主题旅游资讯】主题旅游资讯_新闻_行情信息_艺龙旅行网",,"主题旅游资讯,行情信息,旅游动态,旅游热点"
"周边游旅游资讯","http://trip.elong.com/news/zb-1/","^/news/zb-\d+/$","【周边旅游资讯】周边旅游资讯_新闻_行情信息_艺龙旅行网",,"周边旅游资讯,行情信息,旅游动态,旅游热点"
"国内旅游攻略列表","http://trip.elong.com/news/internal/","^/news/internal/$","【国内旅游攻略】国内旅游资讯_攻略_新闻_行情信息_艺龙旅行网",,"国内旅游攻略,资讯,新闻,行情信息"
"国内旅游攻略列表-Pn","http://trip.elong.com/news/internal/p3/","^/news/internal/p\d+/$","【国内旅游攻略】国内旅游资讯_攻略_新闻_行情信息_100_艺龙旅行网",,"国内旅游攻略,资讯,新闻,行情信息"
"出境旅游攻略列表","http://trip.elong.com/news/external/","^/news/external/$","【出境旅游攻略】国外旅游资讯_攻略_新闻_行情信息_艺龙旅行网",,"出境旅游攻略,国外,出国,旅游资讯,新闻,行情信息"
"出境旅游攻略列表-Pn","http://trip.elong.com/news/external/p3/","^/news/external/p\d+/$","【出境旅游攻略】国外旅游资讯_攻略_新闻_行情信息_100_艺龙旅行网",,"出境旅游攻略,国外,出国,旅游资讯,新闻,行情信息"
"旅游资讯+详细页","http://trip.elong.com/news/n0123131.html","^/news/[a-z\d]+\.html$","【北京志木兰围场自驾旅游线路】艺龙旅行网",,"北京志木兰围场自驾旅游线路,自驾,旅游,线路"
,,,,,
"旅游专题","http://trip.elong.com/event/","^/event/$","【旅游专题】旅游专题_热门特色旅游专题汇总及介绍_艺龙旅行网",,"旅游专题,特色旅游专题,简介"
"旅游专题","http://trip.elong.com/event/all/","^/event/all/$","【旅游专题】旅游专题汇总_热门特色旅游专题汇总及介绍_艺龙旅行网",,"旅游专题,特色旅游专题,简介"
"旅游专题-Pn","http://trip.elong.com/event/p4/","^/event/all/p\d+/$","【旅游专题】旅游专题汇总_热门特色旅游专题汇总及介绍_100_艺龙旅行网",,"旅游专题,特色旅游专题,简介"
"旅游专题+详细页","http://trip.elong.com/event/e00713d2.html","^/event/[a-z\d]+/$","【2012秋季旅游攻略】艺龙旅行网",,"2012秋季旅游攻略,介绍"
"友情链接","http://trip.elong.com/links.html","^/links.html$",,,
