"节点","url","Url正则","title","Title正则","keywords"
"帖子页","http://www.xici.net/b1287314/",,"【545818487囧友】论坛_重庆囧友论坛_社区_西祠囧友_西祠胡同",,"545818487囧友,重庆囧友论坛,社区,论坛,bbs,西祠囧友"
"帖子详细页","http://www.xici.net/d172658207.htm",,"【给香奈儿的安家攻略】545818487囧友_论坛_重庆囧友论坛_社区_西祠囧友_西祠胡同",,"545818487囧友,重庆囧友论坛,社区,bbs,西祠囧友"
"囧友文化","http://www.xici.net/t_%87%E5%D3%D1%CE%C4%BB%AF.htm","^/t_%87%E5%D3%D1%CE%C4%BB%AF\.htm$","【囧友文化】论坛_社区_bbs_西祠囧友_西祠胡同",,"囧友文化,论坛,社区,bbs,囧友文件图片,西祠囧友文化"
"人生旅程","http://www.xici.net/t_%C8%CB%C9%FA%C2%C3%B3%CC.htm","^/t_%C8%CB%C9%FA%C2%C3%B3%CC\.htm$","【人生旅途】论坛_社区_bbs_西祠囧友_西祠胡同",,"人生旅途,论坛,社区,bbs,人生旅途图片,西祠人生旅途"
"休闲","http://www.xici.net/t_%D0%DD%CF%D0.htm","^/t_%D0%DD%CF%D0\.htm$","【休闲】论坛_社区_bbs_西祠囧友_西祠胡同",,"休闲,论坛,社区,bbs,休闲图片,西祠休闲"
"80后","http://www.xici.net/t_80%BA%F3.htm","^/t_80%BA%F3\.htm$","【80后】论坛_社区_bbs_西祠囧友_西祠胡同",,"80后,论坛,社区,bbs,80后图片,西祠80后"
"生活","http://www.xici.net/t_%C9%FA%BB%EE.htm","^/t_%C9%FA%BB%EE\.htm$","【生活】论坛_社区_bbs_西祠囧友_西祠胡同",,"生活,论坛,社区,bbs,生活图片,西祠生活"
"友情","http://www.xici.net/t_%D3%D1%C7%E9.htm","^/t_%D3%D1%C7%E9\.htm$","【友情】论坛_社区_bbs_西祠囧友_西祠胡同",,"友情,论坛,社区,bbs,友情图片,西祠友情"
"同城交友","http://www.xici.net/t_%CD%AC%B3%C7%BD%BB%D3%D1.htm","^/t_%CD%AC%B3%C7%BD%BB%D3%D1\.htm$","【同城交友】论坛_社区_bbs_西祠囧友_西祠胡同",,"同城交友,论坛,社区,bbs,同城交友图片,西祠同城交友"
"自言自语","http://www.xici.net/t_%D7%D4%D1%D4%D7%D4%D3%EF.htm","^/t_%D7%D4%D1%D4%D7%D4%D3%EF\.htm$","【自言自语】论坛_社区_bbs_西祠囧友_西祠胡同",,"自言自语,论坛,社区,bbs,自言自语图片,西祠自言自语"
