"酒店城市+机场火车站","http://m.elong.com/hotel/beijing/traffic/123.html","^/hotel/[a-z]+/traffic/\d+\.html$","【北京北京站】附近的酒店_艺龙旅行网手机版","^【[^】_]+_[^】_]+站】附近的酒店_艺龙旅行网手机版$","北京,北京站,附近,酒店,宾馆","\1,\2站,附近,酒店,宾馆"
"酒店城市+机场火车站-Pn","http://m.elong.com/hotel/beijing/traffic/\d+/\d+/\.123.html","^/hotel/[a-z]+/traffic/\d+/\d+\.html$","【北京_北京站】附近的酒店_100_艺龙旅行网手机版","^【[^】_]+_[^】_]+站】附近的酒店_100_艺龙旅行网手机版$","北京,北京站,附近,酒店,宾馆","\1,\2站,附近,酒店,宾馆"
"酒店城市+品牌 ","http://m.elong.com/hotel/beijing/chain/123/   ","^/hotel/[a-z]+/chain/\d+/$","【北京_莫泰】酒店预订（预定）_艺龙旅行网手机版",,,
"酒店城市+品牌-Pn","http://m.elong.com/hotel/beijing/chain/123/123.html","^/hotel/[a-z]+/chain/\d+/\d+\.html$","【北京_莫泰】酒店预订（预定）_100_艺龙旅行网手机版",,,
"酒店城市+星级 ","http://m.elong.com/hotel/beijing/stars/123/ ","^/hotel/[a-z]+/stars/\d+/$","【北京_四星级】酒店预订（预定）_艺龙旅行网手机版",,,
"酒店城市+星级-Pn","http://m.elong.com/hotel/beijing/stars/123/123.html","^/hotel/[a-z]+/stars/\d+/\d+\.html$","【北京_四星级】酒店预订（预定）_100_艺龙旅行网手机版",,,
"酒店城市团购","http://m.elong.com/hotel/beijing/tuan/","^/hotel/[a-z]+/tuan/$","【北京酒店团购】宾馆团购_艺龙旅行网手机版","^【[^】]+酒店团购】宾馆团购_艺龙旅行网手机版$","北京,酒店,宾馆,团购","\1,酒店,宾馆,团购"
"酒店城市团购-Pn","http://m.elong.com/hotel/beijing/tuan/123.html","^/hotel/[a-z]+/tuan/\d+\.html$","【北京酒店团购】宾馆团购_100_艺龙旅行网手机版","^【[^】]+酒店团购】宾馆团购_100_艺龙旅行网手机版$","北京,酒店,宾馆,团购","\1,酒店,宾馆,团购"
"酒店城市+行政区","http://m.elong.com/hotel/beijing/chaoyang/",,,,,
"产品详细页","http://m.elong.com/hotel/beijing/chaoyang/32212.html",,,,,
"酒店城市+商圈","http://m.elong.com/hotel/beijing/center-123.html",,,,,
"酒店城市+三/四/五星级","http://m.elong.com/hotel/beijing/star-3.html",,,,,
"酒店城市+经济型","http://m.elong.com/hotel/beijing/inn.html",,,,,
"酒店城市热门团购","http://m.elong.com/hotel/beijing/tuan/hot.html","^/hotel/[a-z]+/tuan/hot\.html$","【北京热门酒店团购】艺龙旅行网手机版","^【[^】]+热门酒店团购】艺龙旅行网手机版$","北京,热门,酒店,宾馆,团购","\1,热门,酒店,宾馆,团购"
"酒店城市特价酒店团购","http://m.elong.com/hotel/beijing/tuan/sale.html","^/hotel/[a-z]+/tuan/sale\.html$","【北京特价酒店团购】艺龙旅行网手机版","^【[^】]+特价酒店团购】艺龙旅行网手机版$","北京,热门,酒店,宾馆,团购","\1,热门,酒店,宾馆,团购"
"酒店城市高档酒店团购","http://m.elong.com/hotel/beijing/tuan/top.html","^/hotel/[a-z]+/tuan/top\.html$","【北京高档酒店团购】艺龙旅行网手机版","^【[^】]+高档酒店团购】艺龙旅行网手机版$","北京,热门,酒店,宾馆,团购","\1,热门,酒店,宾馆,团购"
"机票首页","http://m.elong.com/flight/","^/flight/$","【机票】预订_特价打折机票预定_机票价格查询_艺龙旅行网手机版","\identical","机票,特价机票,打折机票,预订,预定","\identical"
"航班号","http://m.elong.com/flight/ho1252.html","/flight/[a-z]{2,3}[0-9]{4}[a-z]?\.html$","【HO1252】吉祥航空_艺龙旅行网手机版","^【[A-Z]{2}\d{3,4}[A-Z]?】[^_]+祥航空_艺龙旅行网手机版$","HO1252,吉祥航空,航班号","\1,\2航空,航班号"
"城市到城市单程","http://m.elong.com/flight/beijing-shanghai/","^/flight/[a-z]+-[a-z]+/$","【北京到上海】机票预订_航班时刻表_航班号一览_艺龙旅行网手机版","^【[^】]+到[^】]+】机票预订_航班时刻表_航班号一览_艺龙旅行网手机版$","北京,上海,机票,航班","\1,\2,机票,预订,预定,航班,时刻表"
"城市到城市单程-Pn","http://m.elong.com/flight/beijing-shanghai/1.html","^/flight/[a-z]+-[a-z]+/\d+\.html$","【北京到上海】机票预订_航班时刻表查询_航班号一览_100_艺龙旅行网手机版","^【[^】]+到[^】]+】机票预订_航班时刻表_航班号一览_100_艺龙旅行网手机版$","北京,上海,机票,航班","\1,\2,机票,预订,预定,航班,时刻表"
"城市到城市单程经济舱","http://m.elong.com/flight/beijing-shanghai/economy.html","^/flight/[a-z]+-[a-z]+/economy\.html$","【北京到上海经济舱】机票预订_航班时刻表查询_航班号一览_艺龙旅行网手机版","^【[^】]+到[^】]+经济舱】机票预订_航班时刻表_航班号一览_艺龙旅行网手机版$","北京,上海,机票,经济舱","\1,\2,机票,经济舱,预订,预定,航班,时刻表"
"城市到城市单程商务舱","http://m.elong.com/flight/beijing-shanghai/business.html","^/flight/[a-z]+-[a-z]+/business\.html$","【北京到上海商务舱】机票预订_航班时刻表查询_航班号一览_艺龙旅行网手机版","^【[^】]+到[^】]+商务舱】机票预订_航班时刻表_航班号一览_艺龙旅行网手机版$","北京,上海,机票,商务舱","\1,\2,机票,商务舱,预订,预定,航班,时刻表"
